subject,course_id,course_display,description,course_url
ART,12656,ART 376 - New Media: Physical Computing And Robotics,"Studio Course. Students will explore interactive technologies. This course will focus on physical computing, robotics, and other interactive technologies Each project will emphasize artistic expression over technical demonstration. Students will work primarily in the Processing and Arduino Integrated Development Environments but will also be exposed to a variety of different tools. Students will also engage with data mining, web-scraping, and other generative art forms. Access to a personal desktop or laptop is highly recommended for this course. Letter grade only. May be repeated for a total of 6 units.",https://catalog.nau.edu/Courses/course?courseId=012656&term=1261
CIT,10988,CIT 137 - Computer Information Technology II,"This course is designed to introduce advanced concepts, principles, and applications of computing as they apply to business and organizational structures. This class teaches several common software packages available for business applications and with a focus on business intelligence. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=010988&term=1261
CIT,10991,CIT 222 - Business Systems Software Development,"An introduction to programming language appropriate for business systems design and development; identifying key concepts and theories on information technology integration with business processes and continuity, program and user-interface design, problem solving, decision analysis, and business intelligence. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=010991&term=1261
CIT,13240,CIT 460 - Emerging Technologies In Information Technology,"This course introduces students to the concepts of technology innovation and evolution applicable to the information technology and business industry. Learners will explore general topics on emerging technologies topics such as the social and economic implications of technology, a view on virtual reality and artificial intelligence, as well as effects of information technology on the media and entertainment industry. The course will also explore decision theories, systematic approaches and methodologies to get an understanding on how it relates to day-to-day business operations. Students will also explore generally accepted practices in risk management, standards and ethics, countermeasures and mitigation strategies that are critical in today's business. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=013240&term=1261
CPP,13500,CPP 664 - Tests And Measurements,"Test theory and construction of selected intelligence, achievement, aptitude, personality, interest, and special ability tests. Cross-listed with EPS 664. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=013500&term=1261
CPP,13169,CPP 673 - Intellectual And Cognitive Assessment,"Administration, scoring, interpretation, and report writing with major measures of intelligence and cognitive processing. Includes theory and research regarding cognitive processing and intellectual assessment. This course must be passed to be eligible to register for practica. Cross-listed with EPS 673. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=013169&term=1261
CS,14290,CS 102 - Artificial Intelligence Literacy,"This course, for students of any major, introduces students to the fundamental concepts of artificial intelligence (AI), its applications, and its implications on society. It covers the basics of machine learning, data analytics, AI tools, improving productivity with AI, AI bias and limitations, ethical implications, and responsible AI use. Students will gain insights into the current state of AI technology and its potential future developments. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014290&term=1261
CS,10122,CS 413 - Virtual Worlds,"Explores the data modeling, visualization, and simulation of abstract environments. Topics include data organization, freeform and tile-based 2D and 3D graphics techniques, collision physics, AI, and networked game infrastructures. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=010122&term=1261
CS,14134,CS 413H - Virtual Worlds - Honors,"Explores the data modeling, visualization, and simulation of abstract environments. Topics include data organization, freeform and tile-based 2D and 3D graphics techniques, collision physics, AI, and networked game infrastructures. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014134&term=1261
CS,1775,CS 470 - Artificial Intelligence,"Introduces fundamental principles of artificial intelligence, including knowledge representation, planning, game playing, learning, and genetic algorithms. Co-convened with CS 570. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=001775&term=1261
CS,13474,CS 470H - Artificial Intelligence - Honors,"Introduces fundamental principles of artificial intelligence, including knowledge representation, planning, game playing, learning, and genetic algorithms. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=013474&term=1261
CS,14101,CS 472 - Unsupervised Machine Learning,"Machine Learning and Artificial Intelligence have become ubiquitous parts of modern society. This course, an extension of CS470, explores the topic of unsupervised learning - when data may not be labeled to support supervised learning methods. Such topics include clustering, Gaussian mixture models, change point detection, and dimensional reduction. Co-convened with CS 572. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014101&term=1261
CS,12521,CS 570 - Advanced Intelligent Systems,"Introduces fundamental principles of artificial intelligence, as well as exploration of current research themes and challenges in areas including knowledge representation, planning, game playing, learning, and genetic algorithms. Co-convened with CS 470. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=012521&term=1261
