subject,course_id,course_display,description,course_url,term,description_norm
CS,1788,CS 499 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular major field of study. Co-convened with CS 599. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=001788&term=1261,1261,Examines recent trends and investigations in a selected area of a particular major field of study. Co-convened with CS 599. Letter grade only. No repeat limit.
CS,1793,CS 599 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with CS 499. May be repeated for credit. Letter grade only.,https://catalog.nau.edu/Courses/course?courseId=001793&term=1261,1261,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with CS 499. May be repeated for credit. Letter grade only.
EE,2386,EE 499 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular major field of study. Co-convened with EE 599. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=002386&term=1261,1261,Examines recent trends and investigations in a selected area of a particular major field of study. Co-convened with EE 599. Letter grade only. No repeat limit.
EE,2397,EE 599 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with EE 499. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=002397&term=1261,1261,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with EE 499. Letter grade only. No repeat limit.
HIS,4184,HIS 460 - Studies In World History,"Selected topics in a world history perspective, including cross-cultural social contacts, trade, pandemics, famines, global change, and maritime endeavors. Taught alternately as separate topics. HIS 100 or HIS 102 is recommended before taking HIS 460. Co-convened with HIS 560. Letter grade only. May be repeated for up to 9 units of credit.",https://catalog.nau.edu/Courses/course?courseId=004184&term=1261,1261,"Selected topics in a world history perspective, including cross-cultural social contacts, trade, pandemics, famines, global change, and maritime endeavors. Taught alternately as separate topics. HIS 100 or HIS 102 is recommended before taking HIS 460. Co-convened with HIS 560. Letter grade only. May be repeated for up to 9 units of credit."
HIS,4224,HIS 560 - Readings In World History,"Specific topics in world history, such as general developments, colonialism, environmental, economic, social, political, and military issues. Co-convened with HIS 460. Letter grade only. May be repeated for up to 12 hours of credit.",https://catalog.nau.edu/Courses/course?courseId=004224&term=1261,1261,"Specific topics in world history, such as general developments, colonialism, environmental, economic, social, political, and military issues. Co-convened with HIS 460. Letter grade only. May be repeated for up to 12 hours of credit."
INF,12721,INF 499 - Special Topics,Examines recent trends and investigations in a selected area. Co-convenes with INF 599. Letter grade only. May be repeated for up to 9 units of credit.,https://catalog.nau.edu/Courses/course?courseId=012721&term=1261,1261,Examines recent trends and investigations in a selected area. Co-convenes with INF 599. Letter grade only. May be repeated for up to 9 units of credit.
INF,12120,INF 599 - Contemporary Developments,"Examines recent trends and investigations in a selected area. Co-convenes with INF 499. Pass-Fail or letter grade, depending on department policy.",https://catalog.nau.edu/Courses/course?courseId=012120&term=1261,1261,"Examines recent trends and investigations in a selected area. Co-convenes with INF 499. Pass-Fail or letter grade, depending on department policy."
MAT,5277,MAT 499 - Contemporary Developments,Examines recent trends and investigations in a selected area. Co-convened with MAT 599. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=005277&term=1261,1261,Examines recent trends and investigations in a selected area. Co-convened with MAT 599. Letter grade only. No repeat limit.
MAT,5307,MAT 599 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with MAT 499. May be repeated for credit. Pass-fail or letter grade.,https://catalog.nau.edu/Courses/course?courseId=005307&term=1261,1261,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. Co-convened with MAT 499. May be repeated for credit. Pass-fail or letter grade.
SPA,7959,SPA 460C - Topics In Spanish Linguistics,"Selected topics in Spanish linguistics are approached from the perspective of fields such as dialectology, sociolinguistics, historical linguistics, as well as applied or theoretical linguistics. Co-convened with SPA 555. Letter grade only. May be repeated for up to 6 units of credit.",https://catalog.nau.edu/Courses/course?courseId=007959&term=1261,1261,"Selected topics in Spanish linguistics are approached from the perspective of fields such as dialectology, sociolinguistics, historical linguistics, as well as applied or theoretical linguistics. Co-convened with SPA 555. Letter grade only. May be repeated for up to 6 units of credit."
SPA,10417,SPA 555 - Topics In Spanish Linguistics,This course provides the student with an in depth view of particular linguistic theories and applications to understanding Spanish linguistic issues. Co-convened with SPA 460C. Letter grade only. May be repeated for up to 6 units of credit.,https://catalog.nau.edu/Courses/course?courseId=010417&term=1261,1261,This course provides the student with an in depth view of particular linguistic theories and applications to understanding Spanish linguistic issues. Co-convened with SPA 460C. Letter grade only. May be repeated for up to 6 units of credit.
CS,1788,CS 499 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular major field of study. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=001788&term=1264,1264,Examines recent trends and investigations in a selected area of a particular major field of study. Letter grade only. No repeat limit.
CS,1793,CS 599 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. May be repeated for credit. Letter grade only.,https://catalog.nau.edu/Courses/course?courseId=001793&term=1264,1264,Examines recent trends and investigations in a selected area of a particular field of study. May be offered no more than three times before being submitted for a permanent course number. May be repeated for credit. Letter grade only.
EE,2386,EE 499 - Contemporary Developments,Examines recent trends and investigations in a selected area of a particular major field of study. Letter grade only. No repeat limit.,https://catalog.nau.edu/Courses/course?courseId=002386&term=1264,1264,Examines recent trends and investigations in a selected area of a particular major field of study. Letter grade only. No repeat limit.
